DATA	CAMINHO	"QTD GERAL
 LINHAS"	"LINHAS
SCRIPLETS"	"LINHAS
TAGLIB"	"LINHAS
HTML"	"LINHAS
SCRIPLETS
COMENTADAS"
2015-02-26 10:22:26	web/src/main/webapp/WEB-INF/jsp/home.jsp	238	0	3	208	27
2015-02-26 09:13:53	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	130	0	2	107	21
2015-02-26 06:57:19	web/src/main/webapp/WEB-INF/jsp/home.jsp	229	0	3	199	27
2015-02-23 06:42:41	web/src/main/webapp/WEB-INF/jsp/includes/search-form.jsp	115	0	2	95	18
2015-02-23 06:42:41	web/src/main/webapp/WEB-INF/jsp/search-results-differential.jsp	110	0	9	78	23
2015-02-23 06:42:41	web/src/main/webapp/WEB-INF/jsp/search-results.jsp	110	0	9	78	23
2015-02-18 09:44:00	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	132	0	10	100	22
2015-02-18 06:22:57	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	128	0	2	105	21
2015-02-17 07:18:57	web/src/main/webapp/WEB-INF/jsp/home.jsp	229	0	3	199	27
2015-02-17 07:18:57	web/src/main/webapp/WEB-INF/jsp/includes/condition-autocomplete-js.jsp	6	0	0	6	0
2015-02-17 07:18:57	web/src/main/webapp/WEB-INF/jsp/includes/search-form.jsp	115	0	2	112	1
2015-02-17 07:18:57	web/src/main/webapp/WEB-INF/jsp/layout.jsp	198	0	4	173	21
2015-02-17 07:18:57	web/src/main/webapp/WEB-INF/jsp/search-results.jsp	80	0	9	48	23
2015-02-16 13:46:40	web/src/main/webapp/WEB-INF/jsp/baseline-search-results.jsp	66	0	2	32	32
2015-02-16 13:46:40	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	380	0	7	346	27
2015-02-16 13:46:40	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	122	0	2	99	21
2015-02-16 13:46:40	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-data.jsp	82	0	2	72	8
2015-02-16 13:46:40	web/src/main/webapp/WEB-INF/jsp/includes/request-preferences.jsp	181	0	5	152	24
2015-02-16 13:46:40	web/src/main/webapp/WEB-INF/jsp/search-results.jsp	75	0	8	44	23
2015-02-13 11:53:03	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	382	0	8	348	26
2015-02-12 19:15:51	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	382	0	8	348	26
2015-02-12 14:42:47	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	382	0	8	348	26
2015-02-11 14:30:43	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	128	0	2	105	21
2015-02-11 08:43:20	web/src/main/webapp/WEB-INF/jsp/home.jsp	227	0	2	198	27
2015-02-04 12:54:55	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	132	0	10	100	22
2015-02-04 12:54:55	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	61	0	3	56	2
2015-02-04 12:54:55	web/src/main/webapp/WEB-INF/jsp/search-results.jsp	75	0	8	44	23
2015-02-04 12:54:45	web/src/main/webapp/WEB-INF/jsp/layout/header.jsp	307	0	2	284	21
